emission_rate,steady_T,steady_CO2,steady_C_active,steady_C_deep
1.033557046979865746e+01,-4.511556844109562547e+01,1.110778222349230418e+03,1.871395946957740259e-06,7.974957598784058064e+02
1.046979865771812079e+01,-4.510071598769511780e+01,1.117489619076074860e+03,1.881845737023715361e-06,7.974957592374012165e+02
1.060402684563758413e+01,-4.508595245537409113e+01,1.124201019854120887e+03,1.892589011689635109e-06,7.974957585916434937e+02
1.073825503355704747e+01,-4.507127677182773340e+01,1.130912431420542134e+03,1.903542384140865261e-06,7.974957579411267261e+02
1.087248322147651081e+01,-4.505668789375599204e+01,1.137623845952263537e+03,1.914646008911167615e-06,7.974957572858448884e+02
1.100671140939597237e+01,-4.504218486408109356e+01,1.144335257527467093e+03,1.925857031104007326e-06,7.974957566257918415e+02
1.114093959731543571e+01,-4.502776650639538047e+01,1.151046676211419481e+03,1.937144711360775191e-06,7.974957559609590589e+02
1.127516778523489904e+01,-4.501343223359916834e+01,1.157758070390738794e+03,1.948487070171779088e-06,7.974957552913413110e+02
1.140939597315436238e+01,-4.499918064912943549e+01,1.164469490211834454e+03,1.959868330685005884e-06,7.974957546169317766e+02
1.154362416107382572e+01,-4.498501119344973631e+01,1.171180901299642755e+03,1.971277242340729070e-06,7.974957539377246576e+02
1.167785234899328906e+01,-4.497092227244769447e+01,1.177892317101970320e+03,1.982705751900915138e-06,7.974957532537131328e+02
1.181208053691275239e+01,-4.495691361965226918e+01,1.184603726292979218e+03,1.994148102179284155e-06,7.974957525648898127e+02
1.194630872483221395e+01,-4.494298413684483506e+01,1.191315120204347750e+03,2.005600186510593524e-06,7.974957518712504907e+02
1.208053691275167729e+01,-4.492913287632656960e+01,1.198026527216221211e+03,2.017059074355743793e-06,7.974957511727876636e+02
1.221476510067114063e+01,-4.491535899163788059e+01,1.204737933665838000e+03,2.028522662175389584e-06,7.974957504694951922e+02
1.234899328859060397e+01,-4.490166159480211405e+01,1.211449352854679546e+03,2.039989469680284954e-06,7.974957497613665964e+02
1.248322147651006730e+01,-4.488803989460282651e+01,1.218160760492934514e+03,2.051458398002510857e-06,7.974957490483969877e+02
1.261744966442953064e+01,-4.487449306084047862e+01,1.224872181451927645e+03,2.062928723180156163e-06,7.974957483305780670e+02
1.275167785234899398e+01,-4.486102019059402579e+01,1.231583575355997027e+03,2.074399909039791471e-06,7.974957476079041498e+02
1.288590604026845554e+01,-4.484762052698346935e+01,1.238295001843169530e+03,2.085871569610860154e-06,7.974957468803695519e+02
