time,C_atm,C_active,C_deep,T_s,forcing
9.940000000000000568e+01,1.236190792796531014e+03,1.507403691595328894e+02,7.974868174815733255e+02,-4.486115591906123257e+01,1.402999999999999936e+01
9.950000000000000000e+01,1.236319397568932118e+03,1.507300040808380004e+02,7.974868174814286022e+02,-4.486084917277150907e+01,1.402500000000000036e+01
9.960000000000000853e+01,1.236447245475164209e+03,1.507196394118930129e+02,7.974868174812839925e+02,-4.486054407923301568e+01,1.401999999999999957e+01
9.970000000000000284e+01,1.236574338024984854e+03,1.507092751543353870e+02,7.974868174811392691e+02,-4.486024063462484435e+01,1.401500000000000057e+01
9.980000000000001137e+01,1.236700676731006752e+03,1.506989113098115638e+02,7.974868174809945458e+02,-4.485993883503746105e+01,1.400999999999999979e+01
9.990000000000000568e+01,1.236826263099642574e+03,1.506885478799568432e+02,7.974868174808498225e+02,-4.485963867662606219e+01,1.400499999999999901e+01
1.000000000000000000e+02,1.236951098632468302e+03,1.506781848663983965e+02,7.974868174807050991e+02,-4.485934015558743226e+01,1.400000000000000000e+01
1.001000000000000085e+02,1.237075184828002193e+03,1.506678222707591317e+02,7.974868174805603758e+02,-4.485904326812988785e+01,1.399499999999999922e+01
1.002000000000000028e+02,1.237198523181703649e+03,1.506574600946578357e+02,7.974868174804155387e+02,-4.485874801047324922e+01,1.399000000000000021e+01
1.003000000000000114e+02,1.237321115185974577e+03,1.506470983397090890e+02,7.974868174802707017e+02,-4.485845437884886167e+01,1.398499999999999943e+01
1.004000000000000057e+02,1.237442962330157798e+03,1.506367370075233509e+02,7.974868174801258647e+02,-4.485816236949955282e+01,1.398000000000000043e+01
1.005000000000000000e+02,1.237564066100538639e+03,1.506263760997067891e+02,7.974868174799810276e+02,-4.485787197867968956e+01,1.397499999999999964e+01
1.006000000000000085e+02,1.237684427980343798e+03,1.506160156178615352e+02,7.974868174798361906e+02,-4.485758320265514243e+01,1.396999999999999886e+01
1.007000000000000028e+02,1.237804049449742024e+03,1.506056555635854579e+02,7.974868174796912399e+02,-4.485729603770327856e+01,1.396499999999999986e+01
